                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.39008,                0.58141,                 1.0581,                0.87244,                0.81092,                0.91209,                0.84211,                0.41047,                0.62455,                0.83908,             0.00073704,             0.00073704,             0.00073704
                     53,                0.40239,                0.57683,                 1.0665,                 0.8512,                0.87161,                0.93877,                0.88307,                0.35409,                0.59081,                0.78391,              0.0007297,              0.0007297,              0.0007297
                     54,                0.37922,                0.56468,                 1.0592,                0.83812,                0.84197,                0.91121,                 0.8551,                0.35592,                0.70937,                0.79733,             0.00072237,             0.00072237,             0.00072237
                     55,                0.39352,                0.53834,                 1.0708,                0.87445,                0.88739,                0.93255,                0.86441,                 0.3919,                0.56269,                0.82834,             0.00071504,             0.00071504,             0.00071504
                     56,                0.38631,                0.54358,                 1.0561,                0.88103,                 0.8679,                0.93797,                0.88504,                0.35301,                0.54983,                0.78865,             0.00070771,             0.00070771,             0.00070771
                     57,                0.37981,                0.52641,                 1.0524,                0.85892,                0.84567,                0.93633,                0.88989,                0.33124,                0.54521,                0.76964,             0.00070037,             0.00070037,             0.00070037
                     58,                0.39466,                0.53564,                 1.0633,                0.84219,                0.88012,                0.93637,                0.88681,                0.34726,                0.58979,                0.77639,             0.00069304,             0.00069304,             0.00069304
                     59,                0.39172,                0.54114,                 1.0646,                0.82492,                0.86916,                0.93502,                0.89118,                0.33113,                 0.5929,                0.76775,             0.00068571,             0.00068571,             0.00068571
                     60,                0.38078,                0.53273,                 1.0608,                0.87962,                0.83262,                0.92281,                0.86643,                 0.3789,                 0.6057,                0.81772,             0.00067838,             0.00067838,             0.00067838
                     61,                0.38952,                0.52275,                 1.0566,                 0.8321,                0.86209,                0.92745,                0.88886,                0.31171,                0.56532,                0.75478,             0.00067104,             0.00067104,             0.00067104
                     62,                0.36984,                0.51641,                 1.0445,                 0.8737,                0.87964,                 0.9463,                0.89969,                0.34294,                0.55348,                0.79018,             0.00066371,             0.00066371,             0.00066371
                     63,                0.38264,                0.50054,                 1.0514,                0.90085,                0.88589,                0.94404,                 0.9024,                0.32516,                0.51391,                 0.7583,             0.00065638,             0.00065638,             0.00065638
                     64,                 0.3736,                0.50918,                 1.0537,                0.91139,                0.85796,                0.94249,                0.90138,                0.31904,                0.51223,                0.76511,             0.00064905,             0.00064905,             0.00064905
                     65,                0.38224,                0.50294,                 1.0565,                0.87979,                0.85682,                0.93314,                0.88841,                0.32473,                0.56657,                0.76649,             0.00064171,             0.00064171,             0.00064171
